date t temp ph ox ortp nh4 no silica cod bod phyto chla chlor dyno chrys crip daph eudi cyc daph_lit light ortp_krivica ortp_misca ortp_radovna q_jezernica q_krivica q_misca q_radovna q_natega diat light_m
36636 730596 9.982558327 8.150378505 14.16375699 0.014894203 0.015127022 0.86445896 0.578678731 2.067743364 5.389624664 4.352702215091302 0.012519084 0.025654744 0.189124877 1.823068751 0.490156578 0.00063235 0.009913179 2.557058547 0.022132247 258.993 0.041 0.07 0.012 18835.2 1382.4 15465.6 34560 22550.4 1.668 185.56776
36637 730597 10.13086247 8.169260153 14.17880099 0.015255397 0.014888841 0.857716485 0.558268189 2.088958858 5.541890403 4.312668763925576 0.012661493 0.024047099 0.200094831 1.847789803 0.5256972 0.000666082 0.008567129 2.675742444 0.023312874 260.8704 0.040962212 0.06973627 0.011981106 15811.2 1382.4 15465.6 34560 22550.4 1.5595 135.2229855
36638 730598 10.27892359 8.187527942 14.19274345 0.015605315 0.014663212 0.851104202 0.538874772 2.109262506 5.688388132 4.291325079277837 0.012797886 0.022522477 0.211125507 1.87114655 0.560262622 0.000701455 0.007299934 2.792420056 0.024550934 262.7352 0.040851963 0.069474007 0.011925982 15811.2 1382.4 15465.6 34560 22550.4 1.453 222.35472
36639 730599 10.42659637 8.205025838 14.20556661 0.015940893 0.014451266 0.844621079 0.520582359 2.128517637 5.828001854 4.2982253688873575 0.012927329 0.021088811 0.222165143 1.893032255 0.593527778 0.000738438 0.006116612 2.90614106 0.025845344 264.5874 0.040673929 0.069213197 0.011836965 15811.2 1382.4 15465.6 34560 22550.4 1.3494 293.04828
36640 730600 10.57373553 8.221597809 14.21725274 0.016259062 0.014254135 0.838266083 0.503474828 2.146587584 5.959615577 4.310943146678009 0.013048884 0.019754034 0.233161976 1.913340183 0.6251676 0.000777 0.005022178 3.015955134 0.027195017 266.427 0.040432785 0.068953828 0.011716393 15811.2 1382.4 15465.6 34560 22550.4 1.2495 259.5726
36641 730601 10.72019575 8.23708782 14.22778408 0.016556759 0.014072951 0.832038184 0.487636057 2.163335676 6.082113306 4.272079496010803 0.013161618 0.018526079 0.244064246 1.931963597 0.654857022 0.000817111 0.00402165 3.120911954 0.028598871 268.254 0.040133205 0.068695886 0.011566603 18835.2 1382.4 15465.6 34560 22550.4 1.1541 96.6168
36642 730602 10.86583174 8.251339838 14.2371429 0.016830915 0.013908844 0.82593635 0.473149925 2.178625244 6.194379045 4.239930436967065 0.013264593 0.017412878 0.254820189 1.948795759 0.682270978 0.000858738 0.003120044 3.220061198 0.030055819 270.081 0.039779865 0.068439359 0.011389932 18835.2 1382.4 15465.6 34560 22550.4 1.0643 233.51328
36643 730603 11.0104982 8.264197829 14.24531144 0.017078466 0.013762947 0.819959549 0.46010031 2.192319619 6.295296801 4.246122985180838 0.013356874 0.016422366 0.265378045 1.963729934 0.7070844 0.000901851 0.002322376 3.312452543 0.031564777 271.8954 0.039377438 0.068184233 0.011188719 18835.2 1900.8 17884.8 34560 22550.4 0.98077 236.68848
36644 730604 11.15404983 8.27550576 14.25227197 0.017296344 0.013636391 0.81410675 0.448571091 2.204282132 6.38375058 4.211775890843448 0.013437525 0.015562476 0.27568605 1.976659385 0.728972222 0.000946419 0.001633663 3.397135666 0.033124661 273.6846 0.038930601 0.067930496 0.0109653 18835.2 1382.4 15465.6 34560 22550.4 0.90453 93.37356
36645 730605 11.29634133 8.285107597 14.25800674 0.017481483 0.013530308 0.80837692 0.438646145 2.214376113 6.458624386 4.194296410358137 0.013505611 0.014841139 0.285692445 1.987477376 0.747609378 0.0009924109999999999 0.001058922 3.473160246 0.034734386 275.4738 0.038444027 0.067678134 0.010722014 18835.2 1382.4 15465.6 34560 22550.4 0.83641 284.58864
36646 730606 11.4372274 8.292847306 14.26249801 0.017630818 0.013445829 0.802769029 0.430409351 2.222464893 6.518802225 4.218403553757282 0.013560195 0.014266291 0.295345465 1.996077169 0.7626708 0.001039796 0.000603168 3.539575958 0.036392867 277.2378 0.037922392 0.067427134 0.010461196 18835.2 1382.4 15465.6 34560 22550.4 0.7773 296.60904
36647 730607 11.57656273 8.298568854 14.26572803 0.017741283 0.013384086 0.797282044 0.423944588 2.228411803 6.563168104 4.243659136906021 0.013600342 0.013845862 0.30459335 2.002352029 0.773831422 0.001088543 0.000271419 3.595432481 0.038099019 278.9892 0.03737037 0.067177483 0.010185185 34041.6 1382.4 15465.6 34560 20736 0.72808 303.39036
36648 730608 11.71420203 8.302116208 14.26767905 0.01780981 0.01334621 0.791914934 0.419335734 2.232080172 6.590606027 4.256671924165172 0.013625117 0.013587788 0.313384338 2.006195218 0.780766178 0.001138622 6.87E-05 3.639779491 0.039851759 280.7406 0.036792637 0.066929167 0.009896319 29376 1900.8 13132.8 34560 20736 0.68962 280.91448
36649 730609 11.85 8.303333333 14.26833333 0.017833333 0.013333333 0.786666667 0.416666667 2.233333333 6.6 4.229699390309794 0.013633583 0.0135 0.321666667 2.0075 0.78315 0.00119 0 3.671666667 0.04165 282.4668 0.036193867 0.066682175 0.009596934 25574.4 1900.8 13132.8 34560 20736 0.66283 134.87796
36650 730610 11.98540384 8.303115156 14.26543557 0.017817047 0.013336406 0.781583694 0.415048186 2.232288542 6.594417518 4.2150675880760184 0.013615708 0.013622035 0.329828092 2.004803516 0.781731511 0.00128712 0 3.696813047 0.045049193 284.1678 0.035578735 0.066436493 0.009289368 15811.2 1900.8 15465.6 34560 20736 0.64254 322.2828
36651 730611 12.12187858 8.302475417 14.25693875 0.017769292 0.013345417 0.776705309 0.413531914 2.229225 6.578007592 4.245386454667727 0.013563293 0.013988631 0.338273874 1.996896875 0.777572213 0.001471341 0 3.721562906 0.051496945 285.8688 0.034951916 0.066192107 0.008975958 18835.2 1900.8 15465.6 34560 20736 0.62301 321.6024
36652 730612 12.25930565 8.301436302 14.24313755 0.017691724 0.013360052 0.772019745 0.412112959 2.224248958 6.551276501 4.242538051288449 0.013478156 0.014600525 0.346978506 1.984054297 0.770816358 0.001738012 0 3.745903771 0.060830411 287.5446 0.034318084 0.065949005 0.008659042 15811.2 1900.8 13132.8 34560 20736 0.60423 305.7264
36653 730613 12.39756648 8.30002 14.22432667 0.017586 0.01338 0.767515234 0.410786431 2.217466667 6.514730525 4.229759302419348 0.013362116 0.015458453 0.35591648 1.96655 0.7616082 0.002082478 0 3.769823167 0.072886744 289.2078 0.033681916 0.065707174 0.008340958 13046.4 1382.4 13132.8 34560 20736 0.58616 318.94884
36654 730614 12.53654251 8.298248698 14.20080078 0.017453776 0.013404948 0.76318001 0.409547439 2.208984375 6.468875942 4.201439952362883 0.013216991 0.016563152 0.365062292 1.944658203 0.750091992 0.002500089 0 3.793308622 0.087503099 290.8458 0.033048084 0.0654666 0.008024042 10540.8 1382.4 15465.6 34560 20736 0.56878 247.46148
36655 730615 12.67611516 8.296144583 14.17285458 0.017296708 0.013434583 0.759002305 0.408391095 2.198908333 6.414219031 4.077548566478292 0.013044597 0.017915358 0.374390434 1.918653125 0.736411988 0.002986189 0 3.816347663 0.104516629 292.4712 0.032421265 0.065227271 0.007710632 10540.8 1900.8 15465.6 34560 20736 0.55206 62.46072
36656 730616 12.81616587 8.293729844 14.14078276 0.017116453 0.013468594 0.754970352 0.407312506 2.187344792 6.351266073 3.8107837868684626 0.012846753 0.019515808 0.383875399 1.888808984 0.720712439 0.003536128 0 3.838927817 0.123764488 294.084 0.031806133 0.064989173 0.007403066 10540.8 1900.8 15465.6 34560 20736 0.53598 41.8446
36657 730617 12.95657606 8.291026667 14.10488 0.016914667 0.013506667 0.751072384 0.406306783 2.1744 6.280523347 3.748489004486779 0.012625277 0.021365239 0.393491681 1.8554 0.7031376 0.004145252 0 3.861036609 0.145083831 295.6716 0.031207363 0.064752293 0.007103681 15811.2 1900.8 13132.8 34560 20736 0.52052 286.15356
36658 730618 13.09722718 8.28805724 14.06544099 0.016693005 0.01354849 0.747296634 0.405369036 2.160180208 6.20249713 3.742113790242935 0.012381987 0.023464388 0.403213774 1.818700391 0.683831723 0.004808909 0 3.882661568 0.16831181 297.234 0.03062963 0.064516618 0.006814815 15811.2 1382.4 13132.8 34560 20736 0.50565 165.92688
36659 730619 13.23800065 8.28484375 14.02276042 0.016453125 0.01359375 0.743631334 0.404494375 2.144791667 6.117693704 3.7271663554494956 0.012118701 0.02581399 0.41301617 1.778984375 0.662939063 0.005522445 0 3.90379022 0.193285581 298.7838 0.030077608 0.064282136 0.006538804 71625.6 950.4 13132.8 34560 20736 0.49135 319.74264
36660 730620 13.3787779 8.281408385 13.97713297 0.016196682 0.013642135 0.740064717 0.403677908 2.128340625 6.026619347 3.7343512168492206 0.011837235 0.028414783 0.422873363 1.736526172 0.64060387 0.006281208 0 3.924410092 0.219842296 300.321 0.029555973 0.064048832 0.006277986 41990.4 5270.4 20304 34560 20736 0.47759 327.81672
36661 730621 13.51944037 8.277773333 13.92885333 0.015925333 0.013693333 0.736585017 0.402914746 2.110933333 5.929780338 3.720870734931967 0.011539409 0.031267502 0.432759847 1.6916 0.6169704 0.007080546 0 3.94450871 0.24781911 301.8204 0.029069399 0.063816695 0.0060347 29376 1382.4 9244.8 34560 20736 0.46435 308.87892
36662 730622 13.65986948 8.273960781 13.8782162 0.015640734 0.013747031 0.733180466 0.402199999 2.092676042 5.827682957 3.6897403884695756 0.011227041 0.034372886 0.442650115 1.644480078 0.592182905 0.007915805 0 3.964073602 0.277053177 303.3072 0.028622562 0.06358571 0.005811281 25574.4 950.4 7603.2 34560 20736 0.4516 294.54516
36663 730623 13.79994668 8.269992917 13.82551625 0.015344542 0.013802917 0.729839296 0.401528775 2.073675 5.720833483 3.6449701371138876 0.010901947 0.03773167 0.452518661 1.595440625 0.566385638 0.008782333 0 3.983092294 0.307381651 304.7688 0.028220135 0.063355865 0.005610068 22118.4 950.4 7603.2 34560 20736 0.43932 290.09988
36664 730624 13.93955339 8.265891927 13.77104818 0.015038411 0.013860677 0.726549742 0.400896186 2.054036458 5.609738195 3.5720203337943914 0.010565946 0.04134459 0.462339977 1.544755859 0.539722852 0.009675477 0 4.001552313 0.338641685 306.2178 0.027866795 0.063127147 0.005433397 15811.2 691.2 7603.2 34560 20736 0.42748 186.92856
36665 730625 14.07857104 8.26168 13.71510667 0.014724 0.01392 0.723300035 0.40029734 2.033866667 5.494903373 3.4334153145795163 0.010220855 0.045212385 0.472088558 1.4927 0.5123388 0.010590584 0 4.019441186 0.370670435 307.6416 0.027567215 0.062899543 0.005283607 41990.4 691.2 9244.8 34560 20736 0.41607 75.45636
36666 730626 14.21688106 8.257379323 13.65798641 0.014402964 0.013980573 0.720078408 0.399727347 2.013271875 5.376835295 3.328727625569985 0.009868494 0.049335789 0.481738896 1.439547266 0.484377736 0.011523001 0 4.036746439 0.403305052 309.0276 0.027326071 0.062673039 0.005163035 50803.2 950.4 12009.6 34560 20736 0.40504 256.3974
